"Sender (Segmente: 1-40, verloren: 5-10)",,,,,,,,,Empfänger,,"Kommentare
(nicht notwendig)"
RTT,ACKs An,FlightSize 1,DupACK,ssthresh,cwnd,Segmente Ab,FlightSize 2,CA Segment,Segmente AN,ACKs Ab,
0,x,0,0,10,25,1-25,25,1,"1-4, 11-25","1-4,15*4",
1,1-4,21,0,10,26,26-30,26,26,26-30,5*4,
,2*4,26,2,10,26,31-32,28,26,31-32,2*4,
,4,28,3,14,17,5,28,x,5,5,
,12*4,28,15,14,29,33,29,x,33,5,
2,7*4,29,22,14,36,34-40,36,x,34-40,7*5,
,5,35,0,14,14,x,,,,,
,5,35,1,14,14,x,,,,,
3,5,35,2,14,14,x,,,,,
,5,35,3,"17,5","20,5",6,35,x,6,6,
,5*5,35,8,"17,5","20,5",x,,,,,
4,6,34,0,"17,5","17,5",x,,,,,
,,,,,,,,,,,
13,TO,0,0,17,1,7,1,x,7,7,
14,7,0,0,17,2,8-9,2,x,8-9,8-9,
15,8-9,0,0,17,4,10-13,4,x,10-13,4x40,
16,4*40,0,0,17,5,,,,,,
