IP;WHOIS-Auszug
151.64.4.102;inetnum:        151.3.0.0 - 151.79.255.255 netname:        WIND-EX-IUNET country:        IT organisation:   ORG-WTS2-RIPE org-name:       WIND TRE S.P.A. country:        IT route:          151.64.0.0/16 descr:          INFOSTRADA 
2600:1480:2000:23::;NetRange:       2600:1400:: - 2600:14FF:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1400::/24 NetName:        AKAMAI OriginAS:        Organization:   Akamai Technologies, Inc. (AKAMAI) OrgName:        Akamai Technologies, Inc. Country:        US 
2600:1901:1:4be::;NetRange:       2600:1900:: - 2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1900::/28 NetName:        GOOGLE-CLOUD OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
2600:1901:1:7c5::;NetRange:       2600:1900:: - 2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1900::/28 NetName:        GOOGLE-CLOUD OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
2600:1901:1:ca7::;NetRange:       2600:1900:: - 2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1900::/28 NetName:        GOOGLE-CLOUD OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
2603:1061:13f1:181a::365:590;NetRange:       2603:1000:: - 2603:10FF:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2603:1000::/24 NetName:        MSFT OriginAS:        Organization:   Microsoft Corporation (MSFT) OrgName:        Microsoft Corporation Country:        US 
2a04:4e42:6f::762;netname:        US-FASTLY-20130718 country:        EU mnt-routes:     FASTLY organisation:   ORG-FI26-RIPE org-name:       Fastly, Inc. country:        US 
2a04:4e42:6f::763;netname:        US-FASTLY-20130718 country:        EU mnt-routes:     FASTLY organisation:   ORG-FI26-RIPE org-name:       Fastly, Inc. country:        US 
2a06:98c1:3108::ac40:94eb;netname:        CLOUDFLARENET-EU descr:          Cloudflare, Inc. descr:          101 Townsend Street, San Francisco, CA 94107, US descr:          +1 (650) 319-8930 descr:          https://cloudflare.com/ descr:          All Cloudflare abuse reporting can be done via https://www.cloudflare.com/abuse country:        GB route6:         2a06:98c1:3108::/48 
2a06:98c1:310b::ac40:9bd1;netname:        CLOUDFLARENET-EU descr:          Cloudflare, Inc. descr:          101 Townsend Street, San Francisco, CA 94107, US descr:          +1 (650) 319-8930 descr:          https://cloudflare.com/ descr:          All Cloudflare abuse reporting can be done via https://www.cloudflare.com/abuse country:        GB route6:         2a06:98c1:310b::/48 
34.107.243.93;NetRange:       34.64.0.0 - 34.127.255.255 CIDR:           34.64.0.0/10 NetName:        GOOGL-2 OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
::ffff:192.168.178.89;
