IP;WHOIS-Auszug
2001:4860:482d:7700::;NetRange:       2001:4860:: - 2001:4860:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2001:4860::/32 NetName:        GOOGLE-IPV6 OriginAS:        Organization:   Google LLC (GOGL) OrgName:        Google LLC Country:        US 
2600:1480:2000:23::;NetRange:       2600:1400:: - 2600:14FF:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1400::/24 NetName:        AKAMAI OriginAS:        Organization:   Akamai Technologies, Inc. (AKAMAI) OrgName:        Akamai Technologies, Inc. Country:        US 
2600:1901:0:38d7::;NetRange:       2600:1900:: - 2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1900::/28 NetName:        GOOGLE-CLOUD OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
2600:1901:1:4be::;NetRange:       2600:1900:: - 2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1900::/28 NetName:        GOOGLE-CLOUD OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
2600:1901:1:7c5::;NetRange:       2600:1900:: - 2600:190F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:1900::/28 NetName:        GOOGLE-CLOUD OriginAS:        Organization:   Google LLC (GOOGL-2) OrgName:        Google LLC Country:        US 
2600:9000:20ae:fe00:a:a11c:1180:93a1;NetRange:       2600:9000:: - 2600:900F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:9000::/28 NetName:        AMZ-CF OriginAS:        Organization:   Amazon.com, Inc. (AMAZON-4) OrgName:        Amazon.com, Inc. Country:        US 
2600:9000:20ba:6e00:15:2b26:f200:93a1;NetRange:       2600:9000:: - 2600:900F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:9000::/28 NetName:        AMZ-CF OriginAS:        Organization:   Amazon.com, Inc. (AMAZON-4) OrgName:        Amazon.com, Inc. Country:        US 
2600:9000:20ba:b200:4:b37b:9440:93a1;NetRange:       2600:9000:: - 2600:900F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:9000::/28 NetName:        AMZ-CF OriginAS:        Organization:   Amazon.com, Inc. (AMAZON-4) OrgName:        Amazon.com, Inc. Country:        US 
2600:9000:2165:8200:1:a3fa:7cc0:93a1;NetRange:       2600:9000:: - 2600:900F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:9000::/28 NetName:        AMZ-CF OriginAS:        Organization:   Amazon.com, Inc. (AMAZON-4) OrgName:        Amazon.com, Inc. Country:        US 
2600:9000:2165:ba00:1:a3fa:7cc0:93a1;NetRange:       2600:9000:: - 2600:900F:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF CIDR:           2600:9000::/28 NetName:        AMZ-CF OriginAS:        Organization:   Amazon.com, Inc. (AMAZON-4) OrgName:        Amazon.com, Inc. Country:        US 
