Fall/RTT;ACKs_an_Sender;FlightSize_1;DupACKs;ssthresh;cwnd_nach_ACK_Auswertung;Gesendete_Datensegmente;FlightSize_2;CA_Segment_Kommentar;
Fall 1: S3 verloren;;;;;;;;;
0;—;0;0;∞;3;S1, S2, S3;3;Start, S3 geht verloren;
1;A1, A2;1;0;∞;5;S4, S5, S6, S7;5;Slow Start, S3 fehlt noch;
2;4 × A2;5;4;2;6;S3 erneut, S8;6;"3 DupACKs → Fast Retransmit; 4. DupACK erlaubt S8";
3;A7, A8;0;0;2;2;S9, S10;2;Fast Recovery beendet, Eintritt in Congestion Avoidance;
4;A9, A10;0;0;2;3;S11, S12, S13;3;CA: 2 ACKs → cwnd + 1;
5;A11, A12, A13;0;0;2;4;S14, S15, S16, S17;4;CA: 3 ACKs → cwnd + 1;
6;A14, A15, A16, A17;0;0;2;5;S18, S19, S20;3;"CA: 4 ACKs → cwnd + 1; nur noch 3 Segmente übrig";
7;A18, A19, A20;0;0;2;5;—;0;Übertragung vollständig;
;;;;;;;;;
Fall 2: S5, S6, S7 verloren;;;;;;;;;
0;—;0;0;∞;3;S1, S2, S3;3;Start;
1;A1, A2, A3;0;0;∞;6;S4, S5, S6, S7, S8, S9;6;"Slow Start; S5–S7 gehen verloren";
2;A4, 2 × A4;5;2;∞;7;S10, S11;7;Nur 2 DupACKs, noch kein Fast Retransmit;
3;2 × A4;7;4;3;7;S5 erneut;7;"3. DupACK → Fast Retransmit für S5; kein neues Segment möglich";
4;A5;6;0;3;3;—;6;"Partial ACK; Reno ohne SACK erkennt S6/S7 noch nicht sicher → wartet auf Timeout";
5–13;—;6;0;3;3;—;6;"Keine neuen ACKs; Warten auf RTO für S6";
14;Timeout S6;6;0;3;1;S6 erneut;6;Timeout: cwnd = 1, ssthresh = 6/2 = 3;
15;A6;5;0;3;2;—;5;"S7 fehlt weiterhin; wegen FlightSize > cwnd kein neues Segment";
16–24;—;5;0;3;2;—;5;Warten auf RTO für S7;
25;Timeout S7;5;0;2;1;S7 erneut;5;Timeout: ssthresh = floor(5/2) = 2, cwnd = 1;
26;A11;0;0;2;2;S12, S13;2;"S8–S11 waren gepuffert; kumulatives ACK bis S11";
27;A12, A13;0;0;2;3;S14, S15, S16;3;ab hier Congestion Avoidance;
28;A14, A15, A16;0;0;2;4;S17, S18, S19, S20;4;CA: 3 ACKs → cwnd + 1;
29;A17, A18, A19, A20;0;0;2;5;—;0;Übertragung vollständig;
